,title,img_url,brand,price,discount_price,discount_percentage
25,Digital Watch  - For Men ultimate new digital watch arm...,https://rukminim1.flixcart.com/image/612/612/k547l3k0/watch/g/y/q/ultimate-new-lite-army-with-on-light-black-combo-fast-selling-original-imafgjzhgfzauvcc.jpeg?q=70,ZINTAAS,₹214,₹625,65% off
26,Analog Watch  - For Men New Black Dial & Black Pu Belt,https://rukminim1.flixcart.com/image/612/612/kqmo8sw0/watch/z/g/w/new-black-dial-black-pu-belt-interist-original-imag4hh6zyc5nhwn.jpeg?q=70,INTERIST,₹209,₹699,70% off
27,All Black Combo Set of Wayfarer Sunglass and Elegant Wa...,https://rukminim1.flixcart.com/image/612/612/kk8mcnk0/watch/a/z/g/csd-326-blk-1-blk-casado-original-imafzmryb8bphzah.jpeg?q=70,CASADO,₹303,"₹1,499",79% off
28,Analog Watch  - For Men AS000010E,https://rukminim1.flixcart.com/image/612/612/kkh6zrk0/watch/n/p/u/as000010e-allen-solly-original-imafzt8zswgzrueb.jpeg?q=70,Allen Solly,"₹1,279","₹2,922",56% off
29,Minimalists Analog Watch  - For Men 38024PP24,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/w/s/d/-original-imagnqcjgxcxmfjb.jpeg?q=70,Fastrack,₹765,₹895,14% off
30,ORIGINAL GOLD PLATED DAY & DATE FUNCTIONING PREMIUM QUA...,https://rukminim1.flixcart.com/image/612/612/kiyw9e80-0/watch/m/g/d/ht-9151-hsnt-original-imafymzau5rxzuyz.jpeg?q=70,hsnt,₹376,"₹2,499",84% off
31,New Fashion Watch for Men and Boys Premium Collection K...,https://rukminim1.flixcart.com/image/612/612/l3hmwsw0/watch/b/s/i/2-stainless-steel-black-dial-no-chronograph-watch-and-king-original-imagehs5dzqhhhps.jpeg?q=70,Praizy Times,₹235,₹999,76% off
32,Analog Watch  - For Men TW0TG7304,https://rukminim1.flixcart.com/image/612/612/kf2v3ww0-0/watch/i/v/k/tw0tg7304-timex-original-imafvmmduh5j3rqw.jpeg?q=70,TIMEX,₹719,"₹1,499",52% off
33,G9052 Original Gold Plated Day&Date Watch & Golden Plat...,https://rukminim1.flixcart.com/image/612/612/ke0a7ww0-0/watch/g/e/h/hmtg-g9052-original-gold-plated-day-date-watch-golden-chain-hrnt-original-imafusbxrfcvfyzf.jpeg?q=70,hrnt,₹417,"₹2,299",81% off
34,HL-1260-DTL-BLACK Digital Watch  - For Men HL-1260-BLAC...,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/8/u/n/-original-imagpzzj933kjp2z.jpeg?q=70,hala,₹279,"₹1,999",86% off
35,Neon Analog Watch  - For Men NG38003PP13C,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/j/l/o/-original-imagz4wvckgcz7m6.jpeg?q=70,Fastrack,₹715,₹795,10% off
36,Premium Silver Dummy Chronograph Dial | Stainless Steel...,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/o/p/t/-original-imagpzzgzwtkmxpd.jpeg?q=70,CASADO,₹246,₹999,75% off
37,ORIGINAL GOLD PLATED DAY & DATE FUNCTIONING FOR BOYS An...,https://rukminim1.flixcart.com/image/612/612/ku1k4280/watch/q/3/j/1-hmty-7008-hymt-men-original-imag79f5qgbyn4rn.jpeg?q=70,HYMT,₹468,"₹2,999",84% off
38,Analog Watch  - For Men PE000008B,https://rukminim1.flixcart.com/image/612/612/kg8avm80-0/watch/v/i/c/pe000008b-peter-england-original-imafwgbxxdjgfaqr.jpeg?q=70,PETER ENGLAND,₹751,"₹1,545",51% off
39,Analog Watch  - For Men PE000017D,https://rukminim1.flixcart.com/image/612/612/kg8avm80-0/watch/t/i/u/pe000017d-peter-england-original-imafwgb7w9cbyumh.jpeg?q=70,PETER ENGLAND,"₹1,367","₹2,595",47% off
